cap 30 sim-min (9000 steps)  gpms=[8.0, 20.0, 45.0, 90.0]  seeds=[0]
    8gpm           random    --    clean  34.9%  drained 0.32kg  worst 0.1198  (47.9s)
    8gpm      chase_worst    --    clean   4.7%  drained 0.02kg  worst 0.0459  (46.8s)
    8gpm      far_to_near    --    clean  71.5%  drained 0.80kg  worst 0.1210  (47.2s)
    8gpm      near_to_far    --    clean  48.2%  drained 0.64kg  worst 0.0562  (46.4s)
    8gpm blast_then_sweep    --    clean  55.3%  drained 0.60kg  worst 0.1127  (46.7s)
    8gpm   standoff_0.10m    --    clean  64.6%  drained 0.73kg  worst 0.1072  (49.0s)
    8gpm   standoff_0.20m    --    clean  64.0%  drained 0.73kg  worst 0.1110  (48.9s)
    8gpm   standoff_0.30m    --    clean  65.9%  drained 0.74kg  worst 0.1117  (49.9s)
    8gpm   standoff_0.50m    --    clean  74.5%  drained 0.82kg  worst 0.1136  (52.0s)
    8gpm   standoff_0.80m    --    clean  17.6%  drained 0.17kg  worst 0.0425  (52.5s)
   20gpm           random    --    clean  36.4%  drained 0.34kg  worst 0.0848  (52.4s)
   20gpm      chase_worst    --    clean   4.9%  drained 0.02kg  worst 0.0505  (49.6s)
   20gpm      far_to_near    --    clean  85.3%  drained 0.90kg  worst 0.1422  (48.0s)
   20gpm      near_to_far    --    clean  57.3%  drained 0.70kg  worst 0.0423  (46.9s)
   20gpm blast_then_sweep    --    clean  61.2%  drained 0.63kg  worst 0.1220  (47.1s)
   20gpm   standoff_0.10m    --    clean  81.7%  drained 0.86kg  worst 0.1229  (46.3s)
   20gpm   standoff_0.20m    --    clean  81.0%  drained 0.85kg  worst 0.1229  (46.2s)
   20gpm   standoff_0.30m    --    clean  82.5%  drained 0.87kg  worst 0.1314  (46.1s)
   20gpm   standoff_0.50m    --    clean  83.8%  drained 0.90kg  worst 0.1412  (47.5s)
   20gpm   standoff_0.80m    --    clean  17.8%  drained 0.18kg  worst 0.0424  (51.0s)
   45gpm           random    --    clean  37.4%  drained 0.35kg  worst 0.0960  (47.3s)
   45gpm      chase_worst    --    clean   5.1%  drained 0.03kg  worst 0.0425  (48.8s)
   45gpm      far_to_near    --    clean  91.3%  drained 1.00kg  worst 0.0394  (50.0s)
   45gpm      near_to_far    --    clean  66.3%  drained 0.74kg  worst 0.0390  (48.8s)
   45gpm blast_then_sweep    --    clean  64.1%  drained 0.67kg  worst 0.0707  (50.9s)
   45gpm   standoff_0.10m    --    clean  90.7%  drained 0.98kg  worst 0.0695  (51.8s)
   45gpm   standoff_0.20m    --    clean  90.1%  drained 0.98kg  worst 0.0730  (53.2s)
   45gpm   standoff_0.30m    --    clean  90.4%  drained 0.98kg  worst 0.0733  (51.8s)
   45gpm   standoff_0.50m    --    clean  89.5%  drained 0.98kg  worst 0.0345  (60.4s)
   45gpm   standoff_0.80m    --    clean  17.9%  drained 0.18kg  worst 0.0423  (69.2s)
   90gpm           random    --    clean  37.7%  drained 0.35kg  worst 0.0423  (72.9s)
   90gpm      chase_worst    --    clean   5.5%  drained 0.03kg  worst 0.0427  (68.4s)
