#{"t_start": 1739484162.9696388, "env_id": "None"}
r,l,t,dirt_left
441.381675,349,5.503753,1320.1303721529289
524.321875,686,37.948644,1359.9513743367997
45.289111,279,41.285805,1887.5600564764572
4878.028745,471,46.994556,1455.3242296305161
-1637.834794,301,257.804314,1428.4816969789706
288.541647,377,262.76292,1086.1040079890429
70.972787,201,265.437064,1153.0298025310171
52.029546,261,268.880142,1839.777787853017
5027.556218,858,305.275015,903.5218832403016
1996.903689,387,533.283524,1011.6664825328405
-2537.264616,468,539.778822,996.7043928193068
6744.805907,851,589.804232,513.0918980158724
-379.314559,310,594.293579,1354.9106457604603
202.800266,77,595.362111,1930.6655370463322
-23.388668,333,840.547109,1115.4505811776803
1415.559359,247,844.099962,2232.913749715569
-11679.098505,1000,909.883188,2069.807931523411
9030.652308,317,914.286861,1114.2674578214837
6870.310638,719,1153.684842,175.68854363766488
379.577386,304,1157.838101,1422.8235382594264
2936.279157,725,1205.051672,1099.8152684772622
5437.176101,848,1476.357271,261.61878171690046
165.430883,127,1478.074333,1508.1526973049079
-77.389785,152,1480.102127,1285.9962540142928
99.168767,433,1521.651215,2188.6427881574587
4609.321009,379,1526.807337,771.9079383448127
17087.3368,651,1587.291483,254.23881196462443
5249.793305,575,1784.022557,512.3915030554089
-162.315226,409,1842.58295,1165.6287271067033
941.540973,152,1844.678628,869.849282414242
2101.83673,1000,1907.115891,1209.1467252576117
6687.642361,711,2104.501434,208.07991006121108
657.958083,228,2141.942986,1239.3409509531052
16084.420121,771,2151.763672,411.8401170463964
-92.696887,170,2195.551679,872.6889979472662
8798.201442,760,2383.753129,332.30707810648704
5244.940774,570,2429.848256,576.2554751443707
7676.728776,810,2470.59888,283.47059451251647
1370.592857,178,2649.297343,1096.1073413525985
2302.577682,758,2721.934771,1579.3228622407346
232.679162,54,2722.617051,2344.1923123578963
-3813.63162,1000,2774.666879,1353.8576975093947
